song_name,artist,album,genre,track_price_inr,album_price_inr,country,currency,is_streamable,duration_min,release_year,era,is_recent,price_category
Pehli Nazar Mein,Atif Aslam & Pritam,Race (Original Motion Picture Soundtrack),Bollywood,18.0,250.0,IND,INR,True,5.21,2008,2000s,NO,Premium
Hawayein,Pritam & Arijit Singh,Jab Harry Met Sejal (Original Motion Picture Soundtrack),Bollywood,18.0,220.0,IND,INR,True,4.83,2017,2015s,NO,Premium
Zara Sa,KK & Pritam,Jannat (Original Motion Picture Soundtrack),Bollywood,18.0,140.0,IND,INR,True,5.06,2008,2000s,NO,Premium
"Pardesiya (From ""Param Sundari"")","Sachin-Jigar, Sonu Nigam & Krishnakali Saha","Pardesiya (From ""Param Sundari"") - Single",Soundtrack,15.0,15.0,IND,INR,True,3.86,2025,2020s,YES,Budget
"Darkhaast (feat. Arijit Singh, Sunidhi Chauhan)",Mithoon,Shivaay (Original Motion Picture Soundtrack),Bollywood,18.0,60.0,IND,INR,True,6.24,2016,2015s,NO,Premium
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"") - Single",Bollywood,18.0,18.0,IND,INR,True,2.85,2024,2020s,YES,Premium
Ilahi,Pritam & Arijit Singh,Yeh Jawaani Hai Deewani (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,3.82,2013,2010s,NO,Premium
Ranjha,Jasleen Royal & B. Praak,Shershaah (Original Motion Picture Soundtrack),Bollywood,18.0,108.0,IND,INR,True,3.81,2021,2020s,YES,Premium
Raataan Lambiyan,"Tanishk Bagchi, Jubin Nautiyal & Asees Kaur",Shershaah (Original Motion Picture Soundtrack),Bollywood,18.0,108.0,IND,INR,True,3.84,2021,2020s,YES,Premium
Tera Hone Laga Hoon,"Atif Aslam, Alisha Chinai & Pritam",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),Bollywood,18.0,250.0,IND,INR,True,5.0,2009,2000s,NO,Premium
